id arrival begin end wait queue duration serviceTime order
2948 5041 20801 21374 15760 53 573 16333 424
835 5173 21447 21523 16274 55 76 16350 425
599 5079 21012 21447 15933 55 435 16368 426
491 5145 21374 21585 16229 54 211 16440 427
2168 5093 21080 21564 15987 56 484 16471 428
1943 5262 21764 21773 16502 52 9 16511 429
1037 5183 21523 21703 16340 56 180 16520 430
1442 5244 21667 21764 16423 51 97 16520 431
1548 5100 21086 21667 15986 51 581 16567 432
2813 5123 21178 21710 16055 49 532 16587 433
630 5245 21703 21863 16458 56 160 16618 434
750 5299 21863 21924 16564 57 61 16625 435
2807 5143 21284 21866 16141 54 582 16723 436
2103 5267 21773 22058 16506 53 285 16791 437
1510 5216 21585 22059 16369 55 474 16843 438
2113 5187 21564 22038 16377 57 474 16851 439
2945 5300 21866 22232 16566 55 366 16932 440
1382 5321 22058 22261 16737 53 203 16940 441
743 5256 21710 22208 16454 49 498 16952 442
1970 5326 22059 22390 16733 56 331 17064 443
2918 5304 21924 22404 16620 58 480 17100 444
3317 5329 22208 22438 16879 50 230 17109 445
402 5331 22232 22456 16901 56 224 17125 446
1530 5310 22038 22509 16728 58 471 17199 447
2395 5341 22390 22543 17049 57 153 17202 448
885 5414 22543 22710 17129 58 167 17296 449
2976 5336 22261 22644 16925 54 383 17308 450
3417 5398 22456 22712 17058 57 256 17314 451
1328 5365 22438 22717 17073 51 279 17352 452
276 5539 22942 22947 17403 59 5 17408 453
1390 5591 23009 23089 17418 58 80 17498 454
1934 5502 22717 23007 17215 51 290 17505 455
3400 5427 22644 22933 17217 55 289 17506 456
432 5615 23079 23122 17464 59 43 17507 457
1953 5460 22710 22976 17250 59 266 17516 458
417 5487 22712 23009 17225 57 297 17522 459
1503 5403 22509 22942 17106 58 433 17539 460
309 5342 22404 22885 17062 59 481 17543 461
2195 5543 22947 23095 17404 60 148 17552 462
3254 5518 22885 23079 17367 58 194 17561 463
3177 5641 23122 23211 17481 60 89 17570 464
2396 5698 23251 23290 17553 62 39 17592 465
671 5637 23095 23251 17458 61 156 17614 466
230 5519 22933 23251 17414 56 318 17732 467
930 5581 23007 23314 17426 51 307 17733 468
3435 5694 23211 23432 17517 61 221 17738 469
3441 5567 22976 23386 17409 59 410 17819 470
438 5618 23089 23454 17471 59 365 17836 471
2519 5707 23251 23641 17544 56 390 17934 472
103 5721 23454 23721 17733 60 267 18000 473
197 5735 23744 23765 18009 64 21 18030 474
2952 5723 23641 23755 17918 57 114 18032 475
2891 5711 23290 23744 17579 63 454 18033 476
1603 5756 23795 23801 18039 63 6 18045 477
951 5751 23765 23802 18014 65 37 18051 478
1961 5720 23432 23795 17712 62 363 18075 479
2991 5715 23386 23826 17671 59 440 18111 480
3391 5712 23314 23876 17602 52 562 18164 481
412 5780 23802 24043 18022 66 241 18263 482
855 5733 23721 24102 17988 61 381 18369 483
493 5785 23826 24168 18041 60 342 18383 484
2744 5840 24102 24270 18262 62 168 18430 485
3477 5840 24168 24270 18328 61 102 18430 486
879 5801 23876 24376 18075 52 500 18575 487
2181 5740 23755 24349 18015 58 594 18609 488
3442 5826 24043 24438 18217 67 395 18612 489
2786 5760 23801 24397 18041 64 596 18637 490
1371 5902 24270 24588 18368 62 318 18686 491
